repo,methods,summary_topic,description
alibaba/druid,test_cloneDruidDataSource_hasIndependentMutableCollections;test_clone_copiesCoreConfiguration,the cloning behavior,"Adds coverage for cloning configured data sources, verifying that core connection and pool settings are preserved while mutable collections remain independent between the original and clone."
apache/flink,testStartCheckpointSchedulerWithHugeMinPauseUsesCappedNormalizedDelay,checkpoint scheduler delay capping,"Covers checkpoint scheduler behavior when the configured minimum pause exceeds the supported limit, including delay capping and rescheduling while processing backlog."
apache/iceberg,testSetSnapshotsSupplierAndBuildReplacementPreserveMetadata,table metadata replacement,"Verifies that rebuilding and replacing table metadata preserves essential identifiers and sequence information, retains metadata history, and correctly evaluates a supplied snapshot list."
aws/aws-sdk-java-v2,getProtocolSpecs_withEc2Protocol_returnsEc2ProtocolSpec;syncClientEndpointDiscovery_whenRequiredEndpointDiscoveryAllowsEndpointOverride_generatesFallbackAndWarning,sync client generation behavior,"Covers sync client generation for endpoint discovery overrides and verifies that EC2 service models use the EC2-specific protocol implementation."
camunda-cloud/zeebe,shouldIgnoreMissingDocumentErrorsOnlyForOperationIndex;shouldRecreateStateAfterResetAndInit,the exporter resource lifecycle,"Covers exporter resource lifecycle behavior by verifying state recreation after reset and initialization, as well as the narrowly scoped handling of missing-document errors for operation indices."
codecentric/spring-boot-admin,should_render_login_view_with_anonymous_user_model;should_render_variables_css_with_public_url_and_ui_extensions,UI model rendering,"Verifies the UI model produced for anonymous login requests and authenticated stylesheet requests, including public URL handling, UI settings, user details, and filtering of CSS and JavaScript extensions."
eclipse/jetty.project,testAddListenerAddsProgrammaticListenerByClassName;testServletContextAttributeListener,servlet listener registration,"Verifies programmatic servlet listener registration by class name and confirms that servlet-context attribute changes emit the expected listener notifications."
hazelcast/hazelcast,testXmlGeneratorNodes;testXmlGeneratorMapProperties,low-level XML generation,"Confirms exact escaping and omission behavior for XML nodes and attributes, and property-map serialization for null, empty, escaped, and valueless entries."
micronaut-projects/micronaut-core,beanKeyEqualityIncludesQualifierAndTypeArguments;runtimeSingletonRegistrationInvalidatesLookupCachesAndResolvesNamedCollections,bean lookup behavior,"Covers bean-key identity across qualifiers and generic type arguments, and verifies that runtime singleton registration refreshes cached lookups while supporting qualified collection access."
opentripplanner/opentripplanner,addPermanentAreaVertexOutsideAreaForceLinksToNearestVisibleVertex;linkVertexForRealTimeRequiresIndexedGraph,vertex linking behavior,"Covers linking an external boarding location to the nearest visible platform vertex and rejecting real-time linking before the graph has been indexed."
orientechnologies/orientdb,testCopy,MATCH statement copying,"Verifies that copying a complex MATCH statement preserves its query clauses while independently copying mutable nested match expressions and return projections."
pmd/pmd,testConfigurationIsAppliedOnCreation,analysis configuration,"Confirms that creating an analysis applies the configured report renderer, relative source root, and existing language property bundle."
quarkusio/quarkus,testCollectTemplateRoots;testCollectTemplateVariants,Qute template collection,"Verifies that Qute template roots are normalized and deduplicated, while template variants are grouped by base name and filtered using the configured suffixes."
real-logic/aeron,shouldDescribeSubscription;shouldRemoveImageByCorrelationId,subscription image handling,"Covers removing an image by correlation ID, including resource cleanup and image-list updates, and verifies that a subscription description accurately reports its connection state and metadata."
seata/seata,shouldDelegateFileBackedReadsThroughDeprecatedConfiguration;shouldReturnDefaultsForMissingConfigurationThroughDeprecatedConfiguration,deprecated configuration reads,"Confirms that the deprecated file-backed configuration API still delegates reads correctly and returns the supplied defaults when configuration values are absent."
skylot/jadx,testConvertPackageHierarchy;testGetJavaNodeByRefReusesConvertedPackage,package conversion behavior,"Verifies conversion of nested package nodes into the correct Java package hierarchy and confirms that repeated package lookups reuse the same converted Java node."
