target_id,repo,fqcn,variant,candidate_source,manual_source,token_jaccard,codebleu,closeness_score,assertion_family_conformance,assertion_idiom_conformance,assertion_conformance,naming_style_conformance,naming_clarity,naming_conformance,fixture_reuse,import_conformance,conformance_score,style_distance,ts_assertion_roulette,ts_conditional_test_logic,ts_constructor_initialization,ts_default_test,ts_emptytest,ts_exception_catching_throwing,ts_general_fixture,ts_mystery_guest,ts_print_statement,ts_redundant_assertion,ts_sensitive_equality,ts_verbose_test,ts_sleepy_test,ts_eager_test,ts_lazy_test,ts_duplicate_assert,ts_unknown_test,ts_ignoredtest,ts_resource_optimism,ts_magic_number_test,ts_dependent_test,ts_total_rate,internal_duplicate_lines
T01_DruidDataSource,alibaba/druid,com.alibaba.druid.pool.DruidDataSource,ES-based,/private/tmp/integrateme-rp-main-merge/experiments/rq2/inputs/candidates/T01_DruidDataSource/es/com/alibaba/druid/pool/DruidDataSource_Sanitized_ESTest_Top51.java,/private/tmp/integrateme-rp-main-merge/experiments/tests/T01_DruidDataSource/sources/DruidDataSource_Manual.java,0.11848341232227488,0.27909039535197205,0.19878690383712347,1.0,0.10743801652892562,0.5537190082644629,0.0,0.9362745098039216,0.4681372549019608,,0.0,0.3406187543888079,0.659381245611192,0.6862745098039216,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,2.0392156862745097,0.0,0.0,0.0,0.0,1.0,0.0,5.549019607843137,73
T01_DruidDataSource,alibaba/druid,com.alibaba.druid.pool.DruidDataSource,LLM-based,/private/tmp/integrateme-rp-main-merge/experiments/rq2/inputs/candidates/T01_DruidDataSource/llm/com/alibaba/druid/pool/DruidDataSource_ESTest_Adopted_Top55.java,/private/tmp/integrateme-rp-main-merge/experiments/tests/T01_DruidDataSource/sources/DruidDataSource_Manual.java,0.1038961038961039,0.19652570178839046,0.1502109028422472,1.0,0.1056338028169014,0.5528169014084507,1.0,0.9956253006253006,0.9978126503126503,,0.0,0.516876517240367,0.483123482759633,0.7090909090909091,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8363636363636363,2.1272727272727274,0.0,0.0,0.0,0.0,1.0,0.0,5.672727272727273,0
T01_DruidDataSource,alibaba/druid,com.alibaba.druid.pool.DruidDataSource,Agentic-based,/private/tmp/integrateme-rp-main-merge/experiments/rq2/inputs/candidates/T01_DruidDataSource/agentic/com/alibaba/druid/pool/DruidDataSource_ESTest_Adopted_Agentic_Top56.java,/private/tmp/integrateme-rp-main-merge/experiments/tests/T01_DruidDataSource/sources/DruidDataSource_Manual.java,0.10074626865671642,0.24344868153205332,0.17209747509438486,1.0,0.17834394904458598,0.589171974522293,1.0,0.9957034202569917,0.9978517101284958,,0.058823529411764705,0.5486157380208512,0.4513842619791488,0.7017543859649122,0.0,0.0,0.0,0.0,0.9824561403508771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8070175438596491,2.087719298245614,0.0,0.0,0.0,0.0,0.9824561403508771,0.0,5.56140350877193,0
T02_CheckpointCoordinator,apache/flink,org.apache.flink.runtime.checkpoint.CheckpointCoordinator,ES-based,/private/tmp/integrateme-rp-main-merge/experiments/rq2/inputs/candidates/T02_CheckpointCoordinator/es/org/apache/flink/runtime/checkpoint/CheckpointCoordinator_Sanitized_ESTest_Top1.java,/private/tmp/integrateme-rp-main-merge/experiments/tests/T02_CheckpointCoordinator/sources/CheckpointCoordinator_Manual.java,0.06647673314339982,0.07163085952926948,0.06905379633633466,0.0,0.0,0.0,1.0,0.75,0.875,0.0,0.28,0.28875,0.7112499999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
T02_CheckpointCoordinator,apache/flink,org.apache.flink.runtime.checkpoint.CheckpointCoordinator,LLM-based,/private/tmp/integrateme-rp-main-merge/experiments/rq2/inputs/candidates/T02_CheckpointCoordinator/llm/org/apache/flink/runtime/checkpoint/CheckpointCoordinator_ESTest_Adopted_Top1.java,/private/tmp/integrateme-rp-main-merge/experiments/tests/T02_CheckpointCoordinator/sources/CheckpointCoordinator_Manual.java,0.186960690316395,0.1661836276916592,0.17657215900402712,0.02601156069364162,0.02601156069364162,0.02601156069364162,0.5,0.9833333333333334,0.7416666666666667,0.05,0.5,0.32941955684007707,0.6705804431599229,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0
T02_CheckpointCoordinator,apache/flink,org.apache.flink.runtime.checkpoint.CheckpointCoordinator,Agentic-based,/private/tmp/integrateme-rp-main-merge/experiments/rq2/inputs/candidates/T02_CheckpointCoordinator/agentic/org/apache/flink/runtime/checkpoint/CheckpointCoordinator_ESTest_Adopted_Agentic_Top2.java,/private/tmp/integrateme-rp-main-merge/experiments/tests/T02_CheckpointCoordinator/sources/CheckpointCoordinator_Manual.java,0.08237547892720307,0.1512799218766543,0.11682770040192868,0.9739884393063584,0.3179190751445087,0.6459537572254335,1.0,1.0,1.0,0.16666666666666666,1.0,0.703155105973025,0.296844894026975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0
T03_TableMetadata,apache/iceberg,org.apache.iceberg.TableMetadata,ES-based,/private/tmp/integrateme-rp-main-merge/experiments/rq2/inputs/candidates/T03_TableMetadata/es/org/apache/iceberg/TableMetadata_Sanitized_ESTest_Top55.java,/private/tmp/integrateme-rp-main-merge/experiments/tests/T03_TableMetadata/sources/TableMetadata_Manual.java,0.11507293354943274,0.17017454072737997,0.14262373713840637,0.0,0.0,0.0,1.0,0.8607832571468935,0.9303916285734468,0.0,0.038461538461538464,0.2422132917587463,0.7577867082412537,0.43636363636363634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9454545454545454,3.309090909090909,0.0,0.0,0.0,0.0,1.0,0.0,6.6909090909090905,144
T03_TableMetadata,apache/iceberg,org.apache.iceberg.TableMetadata,LLM-based,/private/tmp/integrateme-rp-main-merge/experiments/rq2/inputs/candidates/T03_TableMetadata/llm/org/apache/iceberg/TableMetadata_Sanitized_ESTest_Adopted_Top27.java,/private/tmp/integrateme-rp-main-merge/experiments/tests/T03_TableMetadata/sources/TableMetadata_Manual.java,0.1471698113207547,0.1693557757517841,0.1582627935362694,0.0,0.0,0.0,1.0,0.9917352537722908,0.9958676268861454,0.0,0.15384615384615385,0.2874284451830748,0.7125715548169251,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9259259259259259,3.4814814814814814,0.0,0.0,0.0,0.0,1.0,0.0,6.962962962962963,23
T03_TableMetadata,apache/iceberg,org.apache.iceberg.TableMetadata,Agentic-based,/private/tmp/integrateme-rp-main-merge/experiments/rq2/inputs/candidates/T03_TableMetadata/agentic/org/apache/iceberg/TableMetadata_Sanitized_ESTest_Adopted_Agentic_Top27.java,/private/tmp/integrateme-rp-main-merge/experiments/tests/T03_TableMetadata/sources/TableMetadata_Manual.java,0.1588447653429603,0.19126943732876867,0.1750571013358645,0.07142857142857142,0.039097744360902256,0.05526315789473684,1.0,0.9937928669410151,0.9968964334705075,0.0,0.11290322580645161,0.291265704292924,0.708734295707076,0.5555555555555556,0.0,0.0,0.0,0.0,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9259259259259259,4.037037037037037,0.0,0.0,0.0,0.0,1.0,0.0,7.444444444444445,29
T04_SubscriptionState,apache/kafka,org.apache.kafka.clients.consumer.internals.SubscriptionState,ES-based,/private/tmp/integrateme-rp-main-merge/experiments/rq2/inputs/candidates/T04_SubscriptionState/es/org/apache/kafka/clients/consumer/internals/SubscriptionState_Sanitized_ESTest_Top61.java,/private/tmp/integrateme-rp-main-merge/experiments/tests/T04_SubscriptionState/sources/SubscriptionState_Manual.java,0.21346153846153845,0.1946660994612806,0.20406381896140952,1.0,0.6949019607843137,0.8474509803921568,1.0,0.9114900613333593,0.9557450306666797,0.0,0.6666666666666666,0.6174656694313758,0.3825343305686242,0.2459016393442623,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.0,0.0,0.639344262295082,1.6721311475409837,0.0,0.0,0.0,0.0,1.0,0.0,4.622950819672131,390
